short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,club_jersey_number,club_contract_valid_until_year,nationality_name,nation_jersey_number,preferred_foot,international_reputation,pace,shooting,dribbling,passing,physic,defending,PlayerID,ClubID,LeagueID,Professionalism,Ambition,Leadership,Loyalty,InjuryProneness
K. Mbappé,Kylian Mbappé Lottin,"ST, LW, LM",91,94,173500000,610000,26,10,2029,France,10,Right,5,97,90,92,81,76,37,53,35,2,75,95,80,70,55
M. Ødegaard,Martin Ødegaard,"CM, CAM",87,89,98000000,220000,26,8,2028,Norway,10,Left,4,68,79,87,88,65,67,54,1,1,80,90,75,70,40
Otávio,Otávio Edmilson da Silva Monteiro,"CAM, CM, RM",82,82,29500000,54000,30,25,2026,Portugal,,Right,3,78,71,85,82,75,70,55,183,10,80,70,70,75,50
O. Kökçü,Orkun Kökçü,"CM, CAM, CDM",82,86,43500000,25000,24,10,2026,Türkiye,,Right,3,72,80,80,84,79,70,56,191,11,70,85,60,70,45
S. McTominay,Scott Francis McTominay,"CM, CAM, LM",85,85,54000000,150000,28,8,2029,Scotland,4,Right,3,76,82,80,77,85,80,57,72,4,75,80,65,75,55
H. Kane,Harry Edward Kane,ST,89,89,87000000,155000,31,9,2027,England,9,Right,5,64,92,82,83,82,48,58,42,3,80,80,85,80,60
E. Camavinga,Eduardo Celmi Camavinga,"CM, CDM, LB",83,90,73500000,175000,22,6,2029,France,26,Left,3,80,68,84,81,80,78,59,35,2,75,90,75,75,45
Rúben Neves,Rúben Diogo da Silva Neves,"CDM, CM",84,85,40500000,68000,28,8,2026,Portugal,21,Right,3,57,75,77,87,76,77,60,176,10,75,70,65,75,55
F. Nmecha,Felix Kalu Nmecha,"CDM, CM",82,86,40000000,50000,24,8,2028,Germany,24,Right,3,82,74,81,73,86,80,61,45,3,70,90,60,75,45
Carlos Augusto,Carlos Augusto Zopalato Neves,"LB, CB, LM",81,82,27500000,38000,26,30,2028,Brazil,,Left,3,78,72,79,77,76,79,62,67,4,80,85,80,75,45
J. McGinn,John McGinn,"LM, RM, CAM, LB",81,81,25000000,120000,30,7,2027,Scotland,7,Left,3,69,77,80,78,83,77,63,2,1,85,80,85,85,55
Berenguer,Alejandro Berenguer Remiro,"LM, RM, CAM, LW",82,82,30000000,59000,29,7,2027,Spain,,Right,3,84,77,84,79,69,65,64,22,2,75,75,65,80,55
E. Can,Emre Can,"CB, CDM, CM",82,82,21000000,60000,31,23,2026,Germany,,Right,3,77,76,74,72,84,82,65,45,3,85,75,85,85,55
L. Pellegrini,Lorenzo Pellegrini,"CAM, CM",80,80,20500000,63000,29,7,2026,Italy,26,Right,3,75,77,80,80,73,73,66,75,4,75,75,65,80,55
Pedro Gonçalves,Pedro António Pereira Gonçalves,"CAM, LM, CM",83,83,38500000,32000,27,8,2027,Portugal,19,Right,3,77,82,84,83,68,63,67,222,12,75,85,65,75,45
Joelinton,Joelinton Cassio Apolinário de Lira,"CM, LW, LM",82,82,30500000,140000,28,7,2028,Brazil,,Right,3,74,73,81,77,90,82,68,15,1,75,75,65,80,55
Nuno Mendes,Nuno Alexandre Tavares Mendes,"LB, LM",86,89,86000000,110000,23,25,2029,Portugal,25,Left,3,95,65,82,76,77,80,69,93,5,75,95,75,70,45
R. Lewandowski,Robert Lewandowski,ST,88,88,31000000,155000,36,9,2026,Poland,9,Right,5,74,89,85,79,84,44,70,24,2,80,80,85,80,70
K. Thuram,Khéphren Thuram-Ulien,"CM, CDM",81,85,36500000,105000,24,19,2029,France,,Right,3,78,76,80,77,81,81,71,68,4,70,90,60,75,45
I. Perišić,Ivan Perišić,"RW, LW, RM",81,81,8500000,25000,36,5,2027,Croatia,14,Right,3,75,80,79,81,75,69,72,109,6,85,70,85,80,65
B. Mbeumo,Bryan Tetsadong Marceau Mbeumo,"RW, RM, ST",85,86,64500000,135000,25,19,2030,Cameroon,,Left,3,88,84,84,79,76,49,73,14,1,70,90,70,70,55
Y. Tielemans,Youri Tielemans,"CM, CDM, CAM",85,85,54000000,170000,28,8,2027,Belgium,,Right,3,54,79,80,85,72,75,74,2,1,75,85,65,80,55
J. Tavernier,James Henry Tavernier,"RB, RM",77,77,5500000,52000,33,2,2027,England,,Right,1,80,71,75,78,79,69,75,125,7,80,60,75,75,65
J. Musiala,Jamal Musiala,"CAM, LM, CM, ST",88,92,133500000,110000,22,10,2030,Germany,,Right,4,80,82,90,80,65,66,76,42,3,75,95,70,70,40
Marc Cucurella,Marc Cucurella Saseta,LB,84,85,45500000,155000,26,3,2028,Spain,22,Left,3,75,64,80,79,79,82,77,7,1,80,85,80,75,45
L. Torreira,Lucas Sebastián Torreira di Pascua,"CDM, CM",83,83,31000000,73000,29,34,2028,Uruguay,,Right,3,76,72,79,78,79,81,78,196,11,75,75,65,80,55
M. Lemina,Mario René Junior Lemina,"CDM, CM",79,79,12500000,55000,31,99,2026,Gabon,,Right,2,79,67,76,75,83,78,79,196,11,75,65,65,80,55
L. Modrić,Luka Modrić,"CM, CAM, CDM",83,83,11500000,47000,39,14,2026,Croatia,10,Right,3,68,74,86,86,62,70,80,71,4,80,75,70,85,60
F. Kessié,Franck Yannick Kessié,"CDM, CM, CB",80,81,20500000,49000,28,79,2026,Côte d'Ivoire,,Right,3,78,77,78,73,86,78,81,171,10,80,75,80,80,55
G. Lo Celso,Giovani Lo Celso,"CAM, CM, CDM",82,82,30000000,43000,29,20,2028,Argentina,11,Left,3,68,81,84,82,71,68,82,34,2,75,70,65,75,55
F. Aursnes,Fredrik Aursnes,"CM, RB, RM, CAM",80,80,20500000,26000,29,8,2029,Norway,,Right,2,74,71,80,78,82,77,83,210,12,75,75,75,80,60
D. Kulusevski,Dejan KulusevskiДејан Кулушевски,"CM, RW, CAM",83,86,47500000,125000,25,21,2028,Sweden,21,Left,3,74,79,85,84,81,62,84,18,1,75,85,65,75,45
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CM, RM, CDM, CAM",84,84,40500000,165000,30,20,2026,Portugal,10,Left,3,61,78,89,83,65,71,85,13,1,80,80,70,85,50
F. Wirtz,Florian Richard Wirtz,"CAM, ST, CM",89,93,150500000,190000,22,7,2030,Germany,17,Right,5,80,82,90,88,67,54,86,12,1,75,95,70,70,40
W. McKennie,Weston James Earl McKennie,"CM, CDM, CAM",78,79,16500000,95000,26,22,2026,United States,8,Right,2,77,71,77,77,80,80,87,68,4,70,80,60,75,45
R. Loftus-Cheek,Ruben Ira Loftus-Cheek,"CM, CAM",80,80,20500000,55000,29,8,2027,England,,Right,3,81,76,80,79,80,76,88,71,4,75,80,65,85,55
Sergi Darder,Sergi Darder Moll,"LM, CM, CDM, LW",81,81,21500000,43000,31,10,2028,Spain,,Right,3,77,76,80,81,77,73,89,31,2,80,65,70,75,50
C. Tolisso,Corentin Tolisso,"CM, CDM, CAM",81,81,24500000,30000,30,8,2027,France,,Right,3,68,78,76,78,79,77,90,86,5,80,75,70,80,50
M. Brozović,Marcelo Brozović,"CDM, CM",81,81,17000000,52000,32,11,2026,Croatia,,Right,3,63,73,79,78,80,78,91,181,10,80,65,70,75,60
M. De Cuyper,Maxim De Cuyper,"LB, RB, LM",80,86,31000000,78000,24,29,2030,Belgium,,Left,1,76,73,79,80,75,75,92,5,1,70,85,65,70,50
Q. Timber,Quinten Ryan Crispito Timber,"CM, CDM, CAM",80,85,31500000,19000,24,8,2026,Netherlands,24,Right,1,77,78,80,76,83,74,93,100,6,65,85,50,70,50
C. McGregor,Callum William McGregor,"CDM, CM",79,79,11500000,61000,32,42,2028,Scotland,,Left,1,77,76,80,78,78,72,94,116,7,75,65,60,80,65
Douglas Luiz,Douglas Luiz Soares de Paulo,"CM, CDM",80,80,22500000,110000,27,12,2026,Brazil,,Right,3,67,75,80,82,70,75,95,16,1,75,85,65,75,45
Ayoze,Ayoze Pérez Gutiérrez,"ST, CAM",83,83,30500000,65000,31,22,2028,Spain,9,Right,3,86,83,83,80,67,59,96,40,2,80,65,70,75,50
A. Davies,Alphonso Boyle Davies,"LB, LM",84,87,53500000,74000,24,19,2030,Canada,,Left,3,94,66,85,78,76,74,97,42,3,75,90,75,75,50
D. Frattesi,Davide Frattesi,CM,81,83,32000000,38000,25,16,2028,Italy,16,Right,3,82,77,82,78,72,73,98,67,4,75,85,65,75,45
Nuno Santos,Nuno Miguel Gomes dos Santos,"LM, LB, LW",79,79,17000000,24000,30,11,2027,Portugal,,Left,3,79,81,79,76,73,69,99,222,12,85,75,85,85,55
M. Guendouzi,Mattéo Elias Kenzo Guendouzi Olié,"CDM, CM",82,85,36000000,44000,26,8,2028,France,6,Right,3,72,73,80,80,77,77,100,69,4,75,75,65,65,45
M. Caicedo,Moisés Isaac Caicedo Corozo,"CDM, CM",87,89,93000000,170000,23,25,2031,Ecuador,,Right,4,71,64,81,78,82,84,101,7,1,75,95,70,70,40
J. Gvardiol,Joško Gvardiol,"LB, CB, LM",84,87,53500000,130000,23,24,2028,Croatia,4,Left,3,78,71,78,75,82,84,102,13,1,75,90,75,75,45
A. Zambo Anguissa,André-Frank Zambo Anguissa,"CM, CAM",82,82,29500000,115000,29,99,2027,Cameroon,,Right,3,75,75,79,75,85,79,103,72,4,75,75,65,80,55
K. Trippier,Kieran John Trippier,"RB, RM",80,80,7500000,115000,34,2,2026,England,,Right,3,66,65,77,83,71,80,104,15,1,85,70,85,80,65
Lucas Paquetá,Lucas Tolentino Coelho de Lima,"CM, LM, CAM",80,80,22500000,75000,27,10,2027,Brazil,,Left,3,68,78,84,78,75,69,105,19,1,75,80,65,70,45
Gabriel Sara,Gabriel Davi Gomes Sara,"CM, CAM, RM",80,83,27500000,58000,26,8,2029,Brazil,,Left,1,74,74,79,83,78,68,106,196,11,70,80,55,70,45
M. Hjulmand,Morten Blom Due Hjulmand,"CDM, CM",83,86,43000000,30000,26,42,2028,Denmark,21,Right,3,70,76,77,78,84,80,107,222,12,75,85,65,75,45
M. Arambarri,Mauro Wilney Arambarri Rosa,"CM, CDM",80,80,20500000,43000,29,8,2028,Uruguay,,Right,1,65,79,77,76,79,79,108,28,2,70,70,55,75,55
D. Maeda,Daizen Maeda前田 大然,"LW, ST, RW, LM",79,79,18500000,65000,27,38,2027,Japan,,Right,1,92,79,76,70,79,65,109,116,7,65,75,60,70,60
E. Haaland,Erling Braut Håland,ST,90,92,157000000,260000,24,9,2034,Norway,9,Left,5,86,91,80,70,88,45,110,13,1,70,99,75,70,55
B. Pavard,Benjamin Pavard,CB,84,84,35500000,51000,29,28,2026,France,2,Right,3,75,67,75,76,79,86,111,87,5,80,80,80,85,55
E. Anderson,Elliot Junior Anderson,"CDM, CM",80,85,29500000,78000,22,8,2029,England,,Right,1,71,68,81,79,78,77,112,16,1,65,90,50,75,45
G. Wijnaldum,Georginio Gregion Emile Wijnaldum,"CAM, ST, CM",78,78,6500000,35000,34,8,2026,Netherlands,,Right,3,67,72,80,77,75,76,113,172,10,80,60,70,75,60
Marcos Alonso,Marcos Alonso Mendoza,"CB, LB",79,79,5500000,33000,34,20,2026,Spain,,Left,2,57,74,74,80,77,80,114,25,2,80,65,80,80,65
Aleix García,Aleix García Serrano,"CM, CDM",83,83,36500000,100000,28,24,2029,Spain,,Right,3,65,75,84,85,66,75,115,43,3,75,70,65,75,55
Álex Baena,Alejandro Baena Rodríguez,"LM, ST, LW",84,89,63500000,82000,23,10,2030,Spain,26,Right,3,79,76,82,84,68,65,116,23,2,65,80,65,65,55
M. Tillman,Malik Leon Tillman,"CAM, LW, CM",82,87,46000000,80000,23,10,2030,United States,17,Right,3,84,76,83,77,77,65,117,43,3,70,80,60,65,40
E. Palacios,Exequiel Alejandro Palacios,"CM, CDM",84,86,52000000,110000,26,25,2028,Argentina,14,Right,3,62,76,82,80,71,81,118,43,3,75,75,65,65,45
R. Zalazar,Rodrigo Zalazar Martínez,"CAM, CM, LM",79,82,23000000,18000,25,10,2028,Uruguay,,Right,1,80,81,78,79,74,67,119,212,12,70,75,55,70,45
Carvajal,Daniel Carvajal Ramos,"RB, RM",85,85,28000000,240000,33,2,2026,Spain,2,Right,4,80,58,81,79,79,81,120,35,2,90,80,95,80,65
Koke,Jorge Resurrección Merodio,"CM, CDM",81,81,16000000,76000,33,6,2026,Spain,,Right,3,61,72,78,83,77,76,121,23,2,80,65,70,75,60
L. Ferguson,Lewis Ferguson,"CM, CDM, CAM",78,81,18500000,46000,25,19,2027,Scotland,19,Right,1,72,78,78,74,75,72,122,60,4,70,70,55,65,45
R. Ríos,Richard Rios Montoya,"CM, CDM",79,83,24500000,22000,25,20,2030,Colombia,,Right,1,81,70,82,77,82,72,123,210,12,70,75,55,70,45
G. Di Lorenzo,Giovanni Di Lorenzo,"RB, CB, RM",83,83,26500000,120000,31,22,2028,Italy,22,Right,3,84,72,77,73,80,79,124,72,4,85,70,85,80,55
C. Palmer,Cole Jermaine Palmer,"CAM, RM, ST",87,90,109000000,185000,23,10,2033,England,24,Left,4,75,83,87,87,65,50,125,7,1,75,95,70,70,40
Y. Herrera,Yangel Clemente Herrera Ravelo,"CM, CDM, CAM",81,82,29500000,49000,27,12,2030,Venezuela,,Right,3,65,76,79,77,81,80,126,37,2,75,80,65,70,45
Miguel Gutiérrez,Miguel Gutiérrez Ortega,"LB, LM",81,85,34500000,84000,23,3,2030,Spain,,Left,3,81,71,81,79,73,76,127,72,4,75,85,75,70,45
Angeliño,José Ángel Esmoris Tasende,"LB, LM",79,79,16000000,56000,28,3,2028,Spain,,Left,3,69,70,80,81,69,74,128,75,4,80,70,80,80,55
Éderson,Éderson José dos Santos Lourenço da Silva,CM,82,85,40000000,77000,25,13,2027,Brazil,,Right,3,78,72,80,77,81,80,129,59,4,75,75,65,65,45
M. Arnold,Maximilian Arnold,"CDM, CM",79,79,12500000,51000,31,27,2026,Germany,,Left,2,64,80,76,79,75,75,130,58,3,75,65,65,80,55
M. Gibbs-White,Morgan Anthony Gibbs-White,"CAM, ST",82,84,38000000,105000,25,10,2028,England,,Right,3,75,77,84,82,72,60,131,16,1,75,85,65,75,45
M. Locatelli,Manuel Locatelli,"CDM, CM",84,85,43000000,150000,27,5,2028,Italy,5,Right,3,63,69,76,80,78,81,132,68,4,75,85,65,75,45
D. Dumfries,Denzel Justus Morris Dumfries,"RB, RM",84,84,37000000,51000,29,2,2028,Netherlands,22,Right,3,84,70,79,75,84,79,133,67,4,80,80,80,85,55
L. Digne,Lucas Digne,"LB, LM",80,80,15500000,110000,31,12,2028,France,3,Left,2,69,68,76,79,74,77,134,2,1,80,75,80,85,55
R. Andrich,Robert Andrich,"CDM, CM, CB",81,81,21500000,83000,30,8,2028,Germany,23,Right,3,57,77,73,76,81,83,135,43,3,85,70,85,75,55
A. Tchouaméni,Aurélien Djani Tchouameni,"CDM, CM, CB",84,87,50500000,200000,25,14,2028,France,8,Right,3,71,69,78,79,82,81,136,35,2,80,85,80,75,45
S. Guirassy,Serhou Yadaly Guirassy,ST,87,87,79500000,105000,29,9,2028,Guinea,,Right,4,72,88,83,76,83,45,137,45,3,75,85,80,80,65
L. Provod,Lukáš Provod,"CAM, CM, LM",78,78,14000000,33000,28,17,2029,Czechia,14,Left,1,76,75,78,78,82,64,138,278,99,70,70,55,80,55
M. Zaccagni,Mattia Zaccagni,"LM, LW",84,84,40500000,58000,30,10,2029,Italy,20,Right,3,88,78,87,77,66,57,139,69,4,85,70,85,75,55
M. de Roon,Marten Elco de Roon,"CM, CDM",81,81,12000000,78000,34,15,2026,Netherlands,,Right,3,61,74,76,77,80,83,140,59,4,80,65,70,75,60
R. Skov,Robert Faxe Skov,"LB, RB, RM, LM",74,74,3700000,28000,29,24,2030,Denmark,,Left,1,75,77,75,77,69,67,141,44,3,75,65,70,85,60
Brais Méndez,Brais Méndez Portela,"CM, RM, CAM",81,81,25500000,51000,28,23,2028,Spain,,Left,3,70,80,81,82,73,65,142,37,2,75,75,65,80,55
R. Gosens,Robin Everardus Gosens,"LB, LM",80,80,18000000,56000,30,21,2028,Germany,,Left,3,72,74,76,73,77,77,143,64,4,85,70,85,75,55
Fabián Ruiz,Fabián Ruiz Peña,"CM, CDM",85,85,52500000,130000,29,8,2027,Spain,8,Left,3,61,77,81,80,72,75,144,93,5,75,85,65,80,55
G. Hamer,Gustavo Martin Emilio Hamer,"LM, CM, LW",77,77,10500000,57000,28,8,2027,Netherlands,,Right,1,70,72,76,79,76,72,145,241,13,70,70,55,80,55
J. Maddison,James Daniel Maddison,"CM, CAM",84,84,42000000,145000,28,10,2028,England,,Right,3,67,81,85,86,64,58,146,18,1,75,80,65,85,55
P. Groß,Pascal Groß,"CDM, CM",80,80,7000000,52000,34,13,2026,Germany,5,Right,3,48,75,79,84,76,72,147,45,3,80,75,70,85,60
Yuri Berchiche,Yuri Berchiche Izeta,"LB, LM",79,79,5500000,34000,35,17,2026,Spain,,Left,2,79,68,75,74,82,77,148,22,2,80,65,80,80,65
R. Guerreiro,Raphaël Adelino José Guerreiro,"LB, CM, RB, LM",80,80,15500000,65000,31,22,2026,Portugal,,Left,3,69,78,88,85,54,74,149,42,3,85,75,85,85,55
K. Laimer,Konrad Laimer,"RB, CDM, CM, RM",82,82,27500000,75000,28,27,2027,Austria,,Right,3,82,69,75,76,76,81,150,42,3,80,80,80,85,55
Jordi Alba,Jordi Alba Ramos,LB,78,78,3100000,8000,36,18,2025,Spain,,Left,3,82,69,80,78,68,70,151,138,8,85,65,85,80,65
M. Rogers,Morgan Elliot Rogers,"CAM, RM, LM, CM",82,86,44500000,110000,22,27,2030,England,16,Right,3,77,77,84,79,79,67,152,2,1,70,90,60,75,40
Y. Carrasco,Yannick Ferreira Carrasco,"LW, LM",81,81,21500000,46000,31,10,2026,Belgium,,Right,3,87,80,85,77,67,58,153,185,10,75,65,75,75,65
D. Doué,Désiré Doué,"RW, LW, CM, RM",85,91,83500000,100000,20,14,2029,France,24,Right,3,83,80,90,77,74,55,154,93,5,65,95,55,70,45
M. Thuram,Marcus Lilian Thuram-Ulien,ST,85,85,58500000,61000,27,9,2028,France,9,Right,3,86,83,82,76,80,50,155,67,4,70,90,70,70,55
D. Raum,David Raum,"LB, LM",82,83,32000000,65000,27,22,2027,Germany,22,Left,3,86,61,79,80,78,74,156,53,3,80,75,80,65,45
V. Gyökeres,Viktor Einar Gyökeres,ST,87,88,93000000,240000,27,14,2030,Sweden,17,Right,4,90,86,81,73,91,36,157,1,1,75,90,80,70,55
